merchant_id,shop_name,shop_type,address,taste_score,env_score,sever_score,avg_score,price,wgs84_lon,wgs84_lat,contact_phone,business_hours,status
60001496,沙县精品套餐,小吃快餐,锁金村街道南京林业大学,,,,0,,118.8085625,32.0827153,,09:00-20:30,1
60001497,张大婶大碗麻辣烫,小吃快餐,花园路6-10号,,,,0,,118.818765,32.08032758,,08:00-21:00,1
60001498,黄焖鸡米饭,小吃快餐,锁金村街道玄武大道6号(近地铁3号线南京林业大学·新庄站1号出口),,,,0,,118.8049092,32.08261578,,11:00-20:30,1
60001499,辣相伴黄焖鸡米饭,小吃快餐,玄武区龙蟠路159号,,,,0,,118.8080361,32.07560683,,08:30-21:00,1
60001500,一家被炒面耽误的炒饭店,其他美食,锁金村街道六角广场,,,,0,,118.8057237,32.08325335,,07:30-20:30,1
60001501,甘肃天水麻辣烫,小吃快餐,花园路8号7幢1层168室,,,,,,118.8183782,32.08100301,13951907536,08:00-19:30,1
60001502,李记烧腊,粤菜,玄武区锁金二村4栋105室,,,,,,118.8089039,32.07555838,,06:30-17:00,1
60001503,王老板的纸烤全鱼,川菜,锁金中路6号,,,,,,118.8102978,32.07530184,,14:00-21:00,1
60001504,时光岛能量补给站,小吃快餐,锁金村街道时光岛乐园内,,,,0,0,118.8101293,32.06511932,13489932666,16:00-02:00,1
60001505,客尚座,其他美食,玄武区玄武大道6号新庄立交六角广场,,,,,,118.8058172,32.08064396,,07:30-20:00,1
60001506,安怀村菜市场,水果生鲜,东门街2号(小市地铁站1号口步行240米),,,,0,,118.7830985,32.0966829,,10:30-21:30,1
60001507,新疆古再丽烧烤美食,其他美食,东门街与东门前街交叉口东北100米,3.6,3.6,3.6,3.6,,118.7819509,32.09661741,,11:00-22:30,1
60001508,我是渣渣牛肉饭,其他美食,六角广场,,,,0,,118.8041289,32.0797128,,10:00-21:00,1
60001509,麻辣羊头羊蹄,其他美食,鼓楼区小市街121号小区东侧,,,,0,,118.7843796,32.09513027,,08:30-22:00,1
60001510,小淮娘鸭血粉丝,小吃快餐,红山南路89号1栋1-3楼,3.5,3.5,3.5,3.5,20,118.792972,32.0905547,,10:30-02:00,1
60001511,腊汁肉夹馍,小吃快餐,玄武区玄武大道6号B1层48号商铺,,,,0,,118.8049472,32.08269087,18112927878,11:00-21:30,1
60001512,陈福记牛肉汤,小吃快餐,玄武区太平门街10号,3.7,3.7,3.7,3.7,14,118.8057479,32.06009136,,10:30-21:00,1
60001513,鸭得堡老鸭汤·鸭血粉丝,小吃快餐,玄武区太平门街10号,4.4,4.5,4.5,4.4,23,118.8057379,32.06009335,17714380972,18:00-02:30,1
60001514,盼盼龙虾店,小龙虾,小市街道东门前街2号-7,,,,0,,118.7825157,32.09658713,15005145208,09:00-19:00,1
